"Active channels: X_disp, Y_disp, Z_disp, strain, X_rot"					
"Channel units: in, in, in, ustrain, rad"					
Start time: 2008-01-01T00:00:00.000Z					

Time	X_disp	Y_disp	Z_disp	strain	X_rot
30.2	0	0	0	-1.1	0
30.4	0	0	0	-1.2	0
30.6	0	0	0	-1.3	0
30.8	0	0	0	-1.4	0
31	0	0	0	-1.5	0
31.2	0	0	0	-1.6	0
31.4	0	0	0	-1.7	0
31.6	0	0	0	-1.8	0
31.8	0	0	0	-1.9	0
32	0	0	0	-2	0
32.2	0	0	0	-2.1	0
32.4	0	0	0	-2.2	0
32.6	0	0	0	-2.3	0
32.8	0	0	0	-2.4	0
33	0	0	0	-2.5	0
33.2	0	0	0	-2.6	0
33.4	0	0	0	-2.7	0
33.6	0	0	0	-2.8	0
33.8	0	0	0	-2.9	0
34	0	0	0	-3	0
34.2	0	0	0	-2.9	0
34.4	0	0	0	-2.8	0
34.6	0	0	0	-2.7	0
34.8	0	0	0	-2.6	0
35	0	0	0	-2.5	0
35.2	0	0	0	-2.4	0
35.4	0	0	0	-2.3	0
35.6	0	0	0	-2.2	0
35.8	0	0	0	-2.1	0
36	0	0	0	-2	0
36.2	0	0	0	-1.9	0
36.4	0	0	0	-1.8	0
36.6	0	0	0	-1.7	0
36.8	0	0	0	-1.6	0
37	0	0	0	-1.5	0
37.2	0	0	0	-1.4	0
37.4	0	0	0	-1.3	0
37.6	0	0	0	-1.2	0
37.8	0	0	0	-1.1	0
38	0	0	0	-1	0
38.2	0	0	0	-0.9	0
38.4	0	0	0	-0.8	0
38.6	0	0	0	-0.7	0
38.8	0	0	0	-0.6	0
39	0	0	0	-0.5	0
39.2	0	0	0	-0.4	0
39.4	0	0	0	-0.3	0
39.6	0	0	0	-0.2	0
39.8	0	0	0	-0.1	0
40	0	0	0	0	0
40.2	0	0	0	0	0.2
40.4	0	0	0	0	0.4
40.6	0	0	0	0	0.6
40.8	0	0	0	0	0.8
41	0	0	0	0	1
41.2	0	0	0	0	0.8
41.4	0	0	0	0	0.6
41.6	0	0	0	0	0.4
41.8	0	0	0	0	0.2
42	0	0	0	0	0
42.2	0	0	0	0	-0.2
42.4	0	0	0	0	-0.4
42.6	0	0	0	0	-0.6
42.8	0	0	0	0	-0.8
43	0	0	0	0	-1
43.2	0	0	0	0	-0.8
43.4	0	0	0	0	-0.6
43.6	0	0	0	0	-0.4
43.8	0	0	0	0	-0.2
44	0	0	0	0	0
44.2	0	0	0	0	0.2
44.4	0	0	0	0	0.4
44.6	0	0	0	0	0.6
44.8	0	0	0	0	0.8
45	0	0	0	0	1
45.2	0	0	0	0	0.8
45.4	0	0	0	0	0.6
45.6	0	0	0	0	0.4
45.8	0	0	0	0	0.2
46	0	0	0	0	0
46.2	0	0	0	0	-0.2
46.4	0	0	0	0	-0.4
46.6	0	0	0	0	-0.6
46.8	0	0	0	0	-0.8
47	0	0	0	0	-1
47.2	0	0	0	0	-0.8
47.4	0	0	0	0	-0.6
47.6	0	0	0	0	-0.4
47.8	0	0	0	0	-0.2
48	0	0	0	0	0
